model,task,condition,min,max,range
qwen3-14b-base,T3,FAM-NAMED,0.9861111111111112,1.0,0.01388888888888884
qwen3-14b-base,T3,FAM-UNNAMED,0.88,0.9204545454545454,0.04045454545454541
qwen3-14b-base,T3,INV-LEX,0.925,0.9880952380952381,0.0630952380952381
qwen3-14b-base,T4,FAM-DIFF-FAR,0.7708333333333334,0.9821428571428571,0.21130952380952372
qwen3-14b-base,T4,FAM-DIFF-NEAR,0.7735849056603774,0.9,0.1264150943396226
qwen3-14b-base,T4,FAM-NEAR-MISS,0.6779661016949152,0.7586206896551724,0.08065458796025715
qwen3-14b-base,T4,FAM-SAME-DIM,0.7457627118644068,0.9508196721311475,0.2050569602667407
qwen3-14b-base,T4,INV-LEX,0.6607142857142857,1.0,0.3392857142857143
qwen3-14b-base,T5,FAM-FAR,0.5189873417721519,0.6527777777777778,0.1337904360056259
qwen3-14b-base,T5,FAM-NEAR,0.547945205479452,0.6333333333333333,0.08538812785388128
qwen3-14b-base,T5,INV-LEX,0.5,0.7945205479452054,0.29452054794520544
qwen3-4b,T1,FAM-NAMED,0.3333333333333333,1.0,0.6666666666666667
qwen3-4b,T1,FAM-UNNAMED,0.0967741935483871,1.0,0.9032258064516129
qwen3-4b,T1,INV-BASE,0.7096774193548387,0.9696969696969697,0.260019550342131
qwen3-4b,T1,INV-BASE-TWIN,0.43548387096774194,1.0,0.564516129032258
qwen3-4b,T1,INV-LEX,0.25,1.0,0.75
qwen3-4b,T1,INV-LEX-TWIN,0.0,1.0,1.0
qwen3-4b,T2,FAM-DIFF-FAR,0.5333333333333333,0.9444444444444444,0.4111111111111111
qwen3-4b,T2,FAM-NEAR-MISS,0.34285714285714286,0.7391304347826086,0.3962732919254658
qwen3-4b,T2,FAM-SAME-DIM,0.42,0.7105263157894737,0.2905263157894737
qwen3-4b,T2,FAM-SAME-UNIT,0.6097560975609756,0.9743589743589743,0.36460287679799874
qwen3-4b,T2,INV-BASE,0.5208333333333334,1.0,0.47916666666666663
qwen3-4b,T2,INV-LEX,0.5882352941176471,0.9459459459459459,0.35771065182829886
qwen3-4b,T3,FAM-NAMED,0.9444444444444444,0.9743589743589743,0.02991452991452992
qwen3-4b,T3,FAM-UNNAMED,0.7954545454545454,0.9066666666666666,0.1112121212121212
qwen3-4b,T3,INV-LEX,0.8421052631578947,0.9642857142857143,0.12218045112781961
qwen3-4b,T4,FAM-DIFF-FAR,0.7916666666666666,0.9107142857142857,0.11904761904761907
qwen3-4b,T4,FAM-DIFF-NEAR,0.7333333333333333,0.8028169014084507,0.06948356807511746
qwen3-4b,T4,FAM-NEAR-MISS,0.7288135593220338,0.8545454545454545,0.12573189522342065
qwen3-4b,T4,FAM-SAME-DIM,0.7796610169491526,0.9310344827586207,0.1513734658094681
qwen3-4b,T4,INV-LEX,0.5074626865671642,1.0,0.4925373134328358
qwen3-4b,T5,FAM-FAR,0.4943820224719101,0.625,0.1306179775280899
qwen3-4b,T5,FAM-NEAR,0.4657534246575342,0.5194805194805194,0.05372709482298521
qwen3-4b,T5,INV-LEX,0.3717948717948718,0.6292134831460674,0.2574186113511956
qwen3-4b-base,T1,FAM-NAMED,0.6153846153846154,1.0,0.3846153846153846
qwen3-4b-base,T1,FAM-UNNAMED,0.42857142857142855,1.0,0.5714285714285714
qwen3-4b-base,T1,INV-BASE,0.776,1.0,0.22399999999999998
qwen3-4b-base,T1,INV-BASE-TWIN,0.6333333333333333,1.0,0.3666666666666667
qwen3-4b-base,T1,INV-LEX,0.6153846153846154,1.0,0.3846153846153846
qwen3-4b-base,T1,INV-LEX-TWIN,0.3076923076923077,1.0,0.6923076923076923
qwen3-4b-base,T2,FAM-DIFF-FAR,0.4444444444444444,0.8611111111111112,0.41666666666666674
qwen3-4b-base,T2,FAM-NEAR-MISS,0.34285714285714286,0.7551020408163265,0.4122448979591836
qwen3-4b-base,T2,FAM-SAME-DIM,0.38,0.7894736842105263,0.4094736842105263
qwen3-4b-base,T2,FAM-SAME-UNIT,0.3902439024390244,0.9285714285714286,0.5383275261324042
qwen3-4b-base,T2,INV-BASE,0.43333333333333335,0.9285714285714286,0.49523809523809526
qwen3-4b-base,T2,INV-LEX,0.4411764705882353,1.0,0.5588235294117647
qwen3-4b-base,T3,FAM-NAMED,0.9,0.9230769230769231,0.023076923076923106
qwen3-4b-base,T3,FAM-UNNAMED,0.6818181818181818,0.8311688311688312,0.14935064935064946
qwen3-4b-base,T3,INV-LEX,0.8214285714285714,0.8421052631578947,0.020676691729323293
qwen3-4b-base,T4,FAM-DIFF-FAR,0.5342465753424658,0.9642857142857143,0.4300391389432485
qwen3-4b-base,T4,FAM-DIFF-NEAR,0.48333333333333334,0.8309859154929577,0.3476525821596244
qwen3-4b-base,T4,FAM-NEAR-MISS,0.5689655172413793,0.8909090909090909,0.32194357366771154
qwen3-4b-base,T4,FAM-SAME-DIM,0.5245901639344263,0.9032258064516129,0.3786356425171866
qwen3-4b-base,T4,INV-LEX,0.5223880597014925,1.0,0.4776119402985075
qwen3-4b-base,T5,FAM-FAR,0.43820224719101125,0.6527777777777778,0.21457553058676654
qwen3-4b-base,T5,FAM-NEAR,0.273972602739726,0.5666666666666667,0.29269406392694064
qwen3-4b-base,T5,INV-LEX,0.46153846153846156,0.5393258426966292,0.07778738115816763
qwen3-8b,T1,FAM-NAMED,0.16666666666666666,1.0,0.8333333333333334
qwen3-8b,T1,FAM-UNNAMED,0.03225806451612903,0.9459459459459459,0.9136878814298169
qwen3-8b,T1,INV-BASE,0.3275862068965517,1.0,0.6724137931034483
qwen3-8b,T1,INV-BASE-TWIN,0.1935483870967742,0.9090909090909091,0.7155425219941349
qwen3-8b,T1,INV-LEX,0.0,1.0,1.0
qwen3-8b,T1,INV-LEX-TWIN,0.0,1.0,1.0
qwen3-8b,T2,FAM-DIFF-FAR,0.6,0.8333333333333334,0.2333333333333334
qwen3-8b,T2,FAM-NEAR-MISS,0.34285714285714286,0.8043478260869565,0.4614906832298137
qwen3-8b,T2,FAM-SAME-DIM,0.41304347826086957,0.813953488372093,0.40091001011122346
qwen3-8b,T2,FAM-SAME-UNIT,0.7555555555555555,1.0,0.24444444444444446
qwen3-8b,T2,INV-BASE,0.5208333333333334,1.0,0.47916666666666663
qwen3-8b,T2,INV-LEX,0.5714285714285714,1.0,0.4285714285714286
qwen3-8b,T3,FAM-NAMED,0.20512820512820512,0.7,0.49487179487179483
qwen3-8b,T3,FAM-UNNAMED,0.3068181818181818,0.6623376623376623,0.3555194805194805
qwen3-8b,T3,INV-LEX,0.25,0.3157894736842105,0.06578947368421051
qwen3-8b,T4,FAM-DIFF-FAR,0.873015873015873,0.9166666666666666,0.04365079365079361
qwen3-8b,T4,FAM-DIFF-NEAR,0.6071428571428571,0.8867924528301887,0.2796495956873316
qwen3-8b,T4,FAM-NEAR-MISS,0.6911764705882353,0.864406779661017,0.1732303090727817
qwen3-8b,T4,FAM-SAME-DIM,0.7741935483870968,0.896551724137931,0.1223581757508343
qwen3-8b,T4,INV-LEX,0.8035714285714286,0.9583333333333334,0.15476190476190477
qwen3-8b,T5,FAM-FAR,0.3258426966292135,0.46835443037974683,0.14251173375053333
qwen3-8b,T5,FAM-NEAR,0.3287671232876712,0.5,0.17123287671232879
qwen3-8b,T5,INV-LEX,0.3150684931506849,0.4157303370786517,0.10066184392796679
qwen3-8b-base,T1,FAM-NAMED,0.6153846153846154,1.0,0.3846153846153846
qwen3-8b-base,T1,FAM-UNNAMED,0.3142857142857143,1.0,0.6857142857142857
qwen3-8b-base,T1,INV-BASE,0.7043478260869566,1.0,0.29565217391304344
qwen3-8b-base,T1,INV-BASE-TWIN,0.736,1.0,0.264
qwen3-8b-base,T1,INV-LEX,0.6153846153846154,1.0,0.3846153846153846
qwen3-8b-base,T1,INV-LEX-TWIN,0.30434782608695654,1.0,0.6956521739130435
qwen3-8b-base,T2,FAM-DIFF-FAR,0.4444444444444444,0.8611111111111112,0.41666666666666674
qwen3-8b-base,T2,FAM-NEAR-MISS,0.34285714285714286,0.782608695652174,0.4397515527950311
qwen3-8b-base,T2,FAM-SAME-DIM,0.38,0.7631578947368421,0.38315789473684214
qwen3-8b-base,T2,FAM-SAME-UNIT,0.3902439024390244,0.9761904761904762,0.5859465737514518
qwen3-8b-base,T2,INV-BASE,0.49056603773584906,0.8214285714285714,0.33086253369272234
qwen3-8b-base,T2,INV-LEX,0.35135135135135137,0.6923076923076923,0.3409563409563409
qwen3-8b-base,T3,FAM-NAMED,0.9555555555555556,0.9871794871794872,0.03162393162393162
qwen3-8b-base,T3,FAM-UNNAMED,0.7333333333333333,0.7727272727272727,0.039393939393939426
qwen3-8b-base,T3,INV-LEX,0.8928571428571429,0.925,0.03214285714285714
qwen3-8b-base,T4,FAM-DIFF-FAR,0.8571428571428571,1.0,0.1428571428571429
qwen3-8b-base,T4,FAM-DIFF-NEAR,0.6071428571428571,0.8679245283018868,0.2607816711590297
qwen3-8b-base,T4,FAM-NEAR-MISS,0.6764705882352942,0.864406779661017,0.18793619142572282
qwen3-8b-base,T4,FAM-SAME-DIM,0.8305084745762712,0.9482758620689655,0.11776738749269433
qwen3-8b-base,T4,INV-LEX,0.6716417910447762,1.0,0.32835820895522383
qwen3-8b-base,T5,FAM-FAR,0.449438202247191,0.5694444444444444,0.12000624219725342
qwen3-8b-base,T5,FAM-NEAR,0.3698630136986301,0.5666666666666667,0.19680365296803654
qwen3-8b-base,T5,INV-LEX,0.46153846153846156,0.6404494382022472,0.17891097666378564
